id,acc_app_id,area,acc_activity_id,level2,actividad,organization_name
39,21,INSPECCIÓN,7,258,INSPECCION,VETBLUE
40,23,INSPECCIÓN,7,262,INSPECCION,REVIPLUS-ECUADOR S A
44,27,INSPECCIÓN,7,260,INSPECCION,Allianz Qualitá
76,29,INSPECCIÓN,7,260,INSPECCION,ASOSERAGREFOR
128,46,LABORATORIOS,12,1865,ENSAYOS,UNACEM ECUADOR S.A.
140,58,INSPECCIÓN,7,261,INSPECCION,GAFCA
141,58,INSPECCIÓN,7,259,INSPECCION,GAFCA
186,58,INSPECCIÓN,7,261,INSPECCION,GAFCA
187,58,INSPECCIÓN,7,259,INSPECCION,GAFCA
200,58,INSPECCIÓN,7,261,INSPECCION,GAFCA
201,58,INSPECCIÓN,7,259,INSPECCION,GAFCA
203,58,INSPECCIÓN,7,261,INSPECCION,GAFCA
204,58,INSPECCIÓN,7,259,INSPECCION,GAFCA
211,58,INSPECCIÓN,7,261,INSPECCION,GAFCA
212,58,INSPECCIÓN,7,259,INSPECCION,GAFCA
338,115,INSPECCIÓN,7,261,INSPECCION,VERYGLOBE
344,116,INSPECCIÓN,7,260,INSPECCION,S.G.S. del Ecuador S.A.
367,119,INSPECCIÓN,7,259,INSPECCION,ASIAM
369,119,INSPECCIÓN,7,259,INSPECCION,ASIAM
370,119,INSPECCIÓN,7,259,INSPECCION,ASIAM
374,120,INSPECCIÓN,7,259,INSPECCION,A3Control
379,121,INSPECCIÓN,7,261,INSPECCION,JFW SERVICIOS DE INSPECCIÓN Y CERTIFICACIÓN CÍA LTDA.
394,123,INSPECCIÓN,7,261,INSPECCION,INCOPRO S.A.
395,123,INSPECCIÓN,7,261,INSPECCION,INCOPRO S.A.
409,128,INSPECCIÓN,7,260,INSPECCION,ICONTEC INTERNATIONAL
448,130,INSPECCIÓN,7,262,INSPECCION,Vehicle Safety Automotive - VSA
449,130,INSPECCIÓN,7,262,INSPECCION,Vehicle Safety Automotive - VSA
487,119,INSPECCIÓN,7,259,INSPECCION,ASIAM
488,119,INSPECCIÓN,7,259,INSPECCION,ASIAM
501,130,INSPECCIÓN,7,262,INSPECCION,Vehicle Safety Automotive - VSA
