"idOrganizacion";"IdEnsayo";"EsyLugarEjecucion";"EsyTipoEnsayo";"EsyEnsayo";"EsyMuestra";"EsyTecnica";"EsyIntervaloMedicion";"EsyMetodo";"EsyVigenteApartirDe"
"122";"12";"--";"En laboratorio";"Resistencia a la compresión";"--";"Resistencia a la compresión de morteros elaborados con cemento hidráulico, usando cubos de 50mm de arista";"(5-50) MPa.";"IAC-009/NTE INEN 488:209. Segunda revisión 2009-07.";"--"
"122";"12";"--";"En laboratorio";"Composición";"--";"Fluorescencia de Rayos-X";"<p class=""ql-align-center""><span style=""color: black;"">SiO2,&nbsp;11% a 40%</span></p><p class=""ql-align-center""><span style=""color: black;"">&nbsp;Al2O3, 2% a 15%</span></p><p class=""ql-align-center""><span style=""color: black;"">&nbsp;Fe2O3, 0.05% a 8%</span></p><p class=""ql-align-center""><span style=""color: black;"">&nbsp;CaO, 30% a 80%</span></p><p class=""ql-align-center""><span style=""color: black;"">MgO 0.3% a 7%</span></p><p class=""ql-align-center""><span style=""color: black;"">SO3, 0.1% a 10%</span></p><p class=""ql-align-center""><span style=""color: black;"">&nbsp;Na2O, 0.01% a 5%</span></p><p class=""ql-align-center""><span style=""color: black;"">K2O, 0.05% a 2%</span></p><p class=""ql-align-center""><span style=""color: black;"">TiO2 0.01% a 8%</span></p>";"<p>IAC-056</p>/<p>International Standard ISO 29581-2. First edition 2010-03-01. Cement – Test methods. Parte 2: Chemical analysis by X-ray fluorescence.</p>";"--"
"122";"12";"--";"En laboratorio";"Finura";"--";"Permeabilidad al aire utilizando el aparato Blaine";"<p>(3000 a 6000) cm²/g.</p>";"<p>IAC-011</p>/<p>NTE INEN 196:2009. Segunda revisión 2009-07.- Método de ensayo A</p>";"--"
"122";"12";"--";"En laboratorio";"Tiempo de fraguado inicial y final";"--";"Método Vicat usando pastas de cemento hidráulico";"<p>Tiempo de fraguado inicial: (100 a 180) min Tiempo de fraguado final: (270-370) min</p>";"<p>IAC-006</p>/<p>NTE INEN 158:2009. Segunda revisión 2009-07.- Método de ensayo A.</p>";"--"
"117";"12";"--";"En laboratorio";"Composición química :  Carbono (C)";"--";"Espectrometría de chispa de emisión óptica";"<p>(0,044 a 0,935) %</p>";"<p>I-A-CC-06</p>/<p>NTE INEN-ASTM E415</p>";"--"
"117";"12";"--";"En laboratorio";"Composición química :  Manganeso (Mn)";"--";"Espectrometría de chispa de emisión óptica";"<p>(0,13 a 1,61) %</p>";"<p>I-A-CC-06</p>/<p>NTE INEN-ASTM E415</p>";"--"
"117";"12";"--";"En laboratorio";"Composición química :  Silicio (Si)";"--";"Espectrometría de chispa de emisión óptica";"<p>(0,02 a 0,947) %</p>";"<p>I-A-CC-06</p>/<p>NTE INEN-ASTM E415</p>";"--"
"117";"12";"--";"En laboratorio";"Composición química :  Fósforo (P)";"--";"Espectrometría de chispa de emisión óptica";"<p>(0,012 a 0,0482) %</p>";"<p>I-A-CC-06</p>/<p>NTE INEN-ASTM E415</p>";"--"
"117";"12";"--";"En laboratorio";"Composición química :  Azúfre (S)";"--";"Espectrometría de chispa de emisión óptica";"<p>(0,0078 a 0,058) %</p>";"<p>I-A-CC-06</p>/<p>NTE INEN-ASTM E415</p>";"--"
"117";"12";"--";"En laboratorio";"Composición química :  Cobre (Cu)";"--";"Espectrometría de chispa de emisión óptica";"<p>(0,0074 a 0,657) %</p>";"<p>I-A-CC-06</p>/<p>NTE INEN-ASTM E415</p>";"--"
