"idOrganizacion";"IdLaboratorioCalibracion";"ClbLugarEjecucion";"ClbMagnitud";"ClbInstrumento";"ClbIntervaloMedicion";"ClbIncertidumbreExpandida";"ClbPrincipioMedicion";"ClbMetodoMedicion";"ClbPatronUtilizado";"ClbVigenteApartirDe"
"131";"1";"--";"Presión neumática";"Manómetros analógicos con exactitud > 0,1 % FS,Manómetros digitales con exactitud > 0,1 % FS,Registradores cartográficos de presión analógicos,Registradores cartográficos de presión digitales,Registradores de Presión,Transductor de presión";"<p>(0 a 2 068) kPa</p><p>(0 a 300) psi</p>";"<p>± 1,2 kPa</p><p>± 0,18 psi</p>";"--";"<p>M-CD-020</p>";"--";"--"
"131";"1";"--";"Presión hidráulica";"Manómetros analógicos con exactitud > 0,1 % FS,Manómetros digitales con exactitud > 0,1 % FS,Registradores cartográficos de presión analógicos,Registradores cartográficos de presión digitales,Registradores de Presión,Transductor de presión";"<p>(0 a 2 068) kPa</p><p>(0 a 300) psi</p><p><br></p><p>(0 a 3 4473,8) kPa</p><p>(0 a 5 000) psi</p><p><br></p><p>(0 a 68 947,6) kPa</p><p>(0 a 10 000) psi</p>";"<p>± 1,2 kPa</p><p>± 0,18 psi&nbsp;</p><p><br></p><p>± 3,1 kPa</p><p>± 0,46 psi</p><p><br></p><p>± 6,7 kPa</p><p>± 0,97 psi</p>";"--";"<p>M-CD-020</p>";"--";"--"
"131";"1";"--";"Presión neumática";"Manómetros analógicos con exactitud > 0,1 % FS,Manómetros digitales con exactitud > 0,1 % FS,Registradores cartográficos de presión analógicos,Registradores cartográficos de presión digitales,Registradores de Presión,Transductor de presión";"<p>(0 a 2 068) kPa</p><p>(0 a 300) psi</p>";"<p>± 1,2 kPa</p><p>± 0,18 psi&nbsp;</p>";"--";"<p>M-CD-020</p>";"--";"--"
"131";"1";"--";"Presión hidráulica";"Manómetros analógicos con exactitud > 0,1 % FS,Manómetros digitales con exactitud > 0,1 % FS,Registradores cartográficos de presión analógicos,Registradores cartográficos de presión digitales,Registradores de Presión,Transductor de presión";"<p>(0 a 2 068) kPa</p><p>(0 a 300) psi</p><p><br></p><p>(0 a 34 473,8) kPa</p><p>(0 a 5 000) psi</p><p><br></p><p>(0 a 68 947,6) kPa</p><p>(0 a 10 000) psi</p>";"<p>± 1,2 kPa</p><p>± 0,18 psi</p><p><br></p><p>± 3,1 kPa</p><p>± 0,46 psi</p><p><br></p><p>± 6,7 kPa</p><p>± 0,97 psi</p>";"--";"<p>M-CD-020</p>";"--";"--"
"273";"1";"--";"Frecuencia-Generación";"Contador de frecuencia,Analizador de espectro";"<p>0,1 MHz</p><p>0,5 MHz</p><p>1 MHz</p><p>10 MHz</p><p>50 MHz</p><p>100 MHz</p><p>500 MHz</p><p>1000 MHz</p><p>2000 MHz</p><p>3000 MHz</p><p>4000 MHz</p><p>5000 MHz</p><p>6000 MHz</p><p>7000 MHz</p><p>8000 MHz</p><p>9000 MHz</p><p>10000 MHz</p><p>20000 MHz</p>";"<p>± 9,0E-07 MHz</p><p>± 9,0E-07 MHz</p><p>± 9,0E-07 MHz</p><p>± 9,0E-07 MHz</p><p>± 3,4E-07 MHz</p><p>± 3,4E-07 MHz</p><p>± 3,4E-07 MHz</p><p>± 3,4E-07 MHz</p><p>± 3,7E-07 MHz</p><p>± 4,2E-07 MHz</p><p>± 4,8E-07 MHz</p><p>± 5,4E-07 MHz</p><p>± 6,3E-07 MHz</p><p>± 6,9E-07 MHz</p><p>± 7,5E-07 MHz</p><p>± 8,1E-07 MHz</p><p>± 8,1E-07 MHz</p><p>± 1,6E-06 MHz</p>";"--";"<p>CA8.P3</p><p>CA8.P2&nbsp;</p>";"--";"--"
"273";"1";"--";"Frecuencia en
Medición";"Generadores de frecuencia";"<p>10 Hz</p><p>100 Hz</p><p>500 Hz</p><p>1 kHz</p><p>5 kHz</p><p>10 kHz</p><p>50 kHz</p><p>0,1 MHz</p><p>0,5 MHz</p><p>1 MHz</p><p>5 MHz</p><p>10 MHz</p><p>50 MHz</p><p>100 MHz</p><p>200 MHz</p><p>400 MHz</p><p>500 MHz</p><p>525 MHz</p><p>1000 MHz</p><p>2500 MHz</p><p>5000 MHz</p><p>10000 MHz</p><p>12400 MHz</p><p>18000 MHz</p><p>19000 MHz</p><p>20000 MHz</p>";"<p>± 5,7E-01 Hz</p><p>± 5,7E-01 Hz</p><p>± 5,7E-01 Hz</p><p>± 5,7E-04 kHz</p><p>± 5,7E-04 kHz</p><p>± 5,7E-04 kHz</p><p>± 5,7E-04 kHz</p><p>± 5,7E-07 MHz</p><p>± 5,7E-07 MHz</p><p>± 8,4E-06 MHz</p><p>± 5,7E-07 MHz</p><p>± 5,7E-07 MHz</p><p>± 5,7E-07 MHz</p><p>± 5,7E-07 MHz</p><p>± 5,7E-07 MHz</p><p>± 5,7E-07 MHz</p><p>± 5,7E-07 MHz</p><p>± 5,7E-07 MHz</p><p>± 5,7E-07 MHz</p><p>± 5,7E-07 MHz</p><p>± 5,8E-07 MHz</p><p>± 6,0E-07 MHz</p><p>± 6,1E-07 MHz</p><p>± 6,5E-07 MHz</p><p>± 6,6E-07 MHz</p><p>± 6,7E-07 MHz</p>";"--";"<p>CA8.P4</p><p><br></p>";"--";"--"
"273";"1";"--";"Frecuencia-Generación";"Analizador de espectro,Atenuadores";"<p>(-60 dBm)</p><p>0,250 MHz</p><p>6,250 MHz</p><p>65,100 MHz</p><p>250,100 MHz</p><p>2910,100 MHz</p><p>3850,100 MHz</p><p>6650,100 MHz</p><p>8850,100 MHz</p><p>10950,100 MHz</p><p>12550,100 MHz</p><p>13850,100 MHz</p><p>16650,100 MHz</p><p>17750,100 MHz</p><p>19950,100 MHz</p>";"<p>± 0,41</p><p>± 0,22</p><p>± 0,22</p><p>± 0,23</p><p>± 0,26</p><p>± 0,28</p><p>± 0,30</p><p>± 0,32</p><p>± 0,33</p><p>± 0,32</p><p>± 0,32</p><p>± 0,35</p><p>± 0,35</p><p>± 0,57</p>";"--";"<p>CA8.P2</p><p>CA8.P1&nbsp;</p><p><br></p>";"--";"--"
"273";"1";"--";"Potencia en
Generación";"Analizador de espectro,Atenuadores";"<p>(-50 dBm)</p><p>0,250 MHz</p><p>6,250 MHz</p><p>65,100 MHz</p><p>250,100 MHz</p><p>2910,100 MHz</p><p>3850,100 MHz</p><p>6650,100 MHz</p><p>8850,100 MHz</p><p>10950,100 MHz</p><p>12550,100 MHz</p><p>13850,100 MHz</p><p>16650,100 MHz</p><p>17750,100 MHz</p><p>19950,100 MHz</p>";"<p>± 0,40</p><p>± 0,22</p><p>± 0,21</p><p>± 0,23</p><p>± 0,27</p><p>± 0,27</p><p>± 0,28</p><p>± 0,32</p><p>± 0,32</p><p>± 0,32</p><p>± 0,32</p><p>± 0,33</p><p>± 0,35</p><p>± 0,56</p><p><br></p>";"--";"<p>CA8.P2</p><p>CA8.P1</p><p><br></p>";"--";"--"
"273";"1";"--";"Potencia en
Generación";"Analizador de espectro,Atenuadores";"<p>(-40 dBm)</p><p>0,250 MHz</p><p>6,250 MHz</p><p>65,100 MHz</p><p>250,100 MHz</p><p>2910,100 MHz</p><p>3850,100 MHz</p><p>6650,100 MHz</p><p>8850,100 MHz</p><p>10950,100 MHz</p><p>12550,100 MHz</p><p>13850,100 MHz</p><p>16650,100 MHz</p><p>17750,100 MHz</p><p>19950,100 MHz</p>";"<p>± 0,39</p><p>± 0,22</p><p>± 0,21</p><p>± 0,23</p><p>± 0,21</p><p>± 0,21</p><p>± 0,22</p><p>± 0,41</p><p>± 0,41</p><p>± 0,41</p><p>± 0,39</p><p>± 0,28</p><p>± 0,28</p><p>± 0,30</p><p><br></p>";"--";"<p>CA8.P2</p><p>CA8.P1&nbsp;</p>";"--";"--"
"273";"1";"--";"Potencia en
Generación";"Analizador de espectro,Atenuadores";"<p>(-10 dBm)</p><p>0,250 MHz</p><p>6,250 MHz</p><p>65,100 MHz</p><p>250,100 MHz</p><p>2910,100 MHz</p><p>3850,100 MHz</p><p>6650,100 MHz</p><p>8850,100 MHz</p><p>10950,100 MHz</p><p>12550,100 MHz</p><p>13850,100 MHz</p><p>16650,100 MHz</p><p>17750,100 MHz</p><p>19950,100 MHz</p>";"<p>± 0,40</p><p>± 0,21</p><p>± 0,22</p><p>± 0,18</p><p>± 0,24</p><p>± 0,24</p><p>± 0,26</p><p>± 0,27</p><p>± 0,42</p><p>± 0,42</p><p>± 0,42</p><p>± 0,44</p><p>± 0,45</p><p>± 0,52</p>";"--";"<p>CA8.P2&nbsp;</p><p>CA8.P1&nbsp;</p>";"--";"--"
