"idOrganizacion";"idActividad";"level_2";"level_3";"level_4";"level_5";"level_6";"level_7";"level_8";"level_9";"level_10";"level_11"
"122";"12";NULL;"En laboratorio";"Ensayos físico químicos de cemento Hidráulico compuesto o Cemento Portland Puzolánico";"Resistencia a la compresión de morteros elaborados con cemento hidráulico, usando cubos de 50mm de arista";"Resistencia a la compresión";"Cemento Hidráulico compuesto o Cemento Portland Puzolánico";"(5-50) MPa.";"IAC-009";"NTE INEN 488:209. Segunda revisión 2009-07.";NULL
"147";"12";NULL;"In situ";"Ensayos de acústica laboral";"Nivel de presión Sonora";"Ruido laboral";"Ruido laboral";"<p>(40 A 130) dB</p>";"PAT-03";"NTE INEN ISO 9612:2014";NULL
"147";"12";NULL;"In situ";"Ensayos físicos en ambiente laboral";"Celda Fotolumínica";"Luminosidad";"Monitoreo de ambientes";"<p>(20 a 2000) Lux</p>";"PAT-02";"NOM-025-STPS-2008";NULL
"661";"12";NULL;"In situ";"Carácterización de cabinas y ambientes controlados";"Determinación de integridad de filtros";"Determinación de integridad de filtros";"Cabinas de flujo laminar, cabinas de seguridad biológicas, módulos de flujo laminar, salas estériles y locales de ambiente controlado";"<p>(0,000 a 100) %</p>";"<p>PEV.EL.02</p>";"NORMA ISO 14644-3, ítem B.6.2.6";NULL
"661";"12";NULL;"In situ";"Carácterización de cabinas y ambientes controlados";"Determinación de concentración y tamaño de partículas";"Determinación de concentración y tamaño de partículas";"Cabinas de flujo laminar, cabinas de seguridad biológicas, módulos de flujo laminar, salas estériles y locales de ambiente controlado";"<p>(0,3 µm a 10 µm)</p>";"<p>PEV.EL.02</p>";"NORMA ISO 14644-1, Anexo B y C";NULL
"661";"12";NULL;"In situ";"Carácterización de cabinas y ambientes controlados";"Visualización de dirección del patrón de flujo de aire";"Visualización de dirección del patrón de flujo de aire";"Cabinas de flujo laminar, cabinas de seguridad biológicas, módulos de flujo laminar, salas estériles y locales de ambiente controlado";"<p>Presencia / Ausencia</p>";"<p>PEV.EL.02</p>";"NORMA ISO 14644-3, Ítem 4.2.5, B 7.3.2";NULL
"661";"12";NULL;"In situ";"Carácterización de cabinas y ambientes controlados";"Determinación de presión diferencial";"Determinación de presión diferencial";"Salas estériles y locales de ambientes controlados";"<p>(0,02 – 14930) Pa</p>";"<p>PEV.EL.02</p>";"NORMA ISO 14644-3, Ítem B. 5.2";NULL
"661";"12";NULL;"In situ";"Carácterización de cabinas y ambientes controlados";"Rango de medida";"Perfil térmico";"Salas estériles y locales de ambientes controlados";"<p>(-20 a 70) °C</p><p>(0 a 95) % RH</p>";"<p>PEV.EL.02</p>";"NORMA ISO 14644-3, Ítem B 8.2.1 B 9.2";NULL
"661";"12";NULL;"In situ";"Carácterización de medio isotermos";"Caracterización medios isotermos, Comparación de temperaturas – Ensayo de estabilidad y uniformidad";"Caracterización medios isotermos, Comparación de temperaturas – Ensayo de estabilidad y uniformidad";"Incubadoras, Baños, Estufas y Hornos <= 2 m3";"<p>(-5 a 200 )ºC</p>";"<p>PEC.EL.35</p>";"DKD-R 5-7:2009
Método A (9 termopares)";NULL
"661";"12";NULL;"In situ";"Carácterización de medio isotermos";"Caracterización medios isotermos, Comparación de temperaturas – Ensayo de estabilidad y uniformidad";"Caracterización medios isotermos, Comparación de temperaturas – Ensayo de estabilidad y uniformidad";"Incubadoras, Baños, Salas Climáticas, Estufas y Hornos";"<p>(-5 a 200 )ºC</p>";"<p>PEC.EL.08</p>";"DKD-R 5-7:2009
Método C (1 termopar)";NULL
"661";"12";NULL;"In situ";"Carácterización de medio isotermos";"Baños controladores de Temperatura,Termoreactores,Congeladores y refrigeradoras";"Caracterización medios isotermos, Comparación de temperaturas – Ensayo de estabilidad y uniformidad";"Baños controlados de
Temperatura,
Termoreactores
Congeladores
Refrigeradoras";"<p>(-25 a 300) °C, (40 a 160) °C, (-25 a 15) °C.</p>";"<p>PEC.EL.08</p>";"DKD-R 5-7:2009
Método C (1 termopar)";NULL
"661";"12";NULL;"In situ";"Carácterización de medio isotermos";"Caracterización de autoclaves, Comparación de Temperaturas – Ensayo de Estabilidad y uniformidad de temperatura en cámara vacía y llena";"Caracterización de autoclaves, Comparación de
Temperaturas – Ensayo de Estabilidad y uniformidad de temperatura en cámara vacía y llena";"Autoclave";"<p>(116&nbsp;a 121) ºC</p>";"<p>PEV.EL.01</p>";"Farmacopea USP 2008 volumen 1 <1211> Esterilización y Garantía de Esterilidad de artículos farmacopólicos ítems 1,2 y 3.";NULL
"661";"12";NULL;"In situ";"Ensayos físico-químicos en aire ambiente";"Gravimetría";"Particulas sedimentables";"Aire ambiente";"<p>(0,0011–2,7365) mg /cm2 *mes</p>";"<p>PEE.EL.13</p>";"Método 502, Methods of Air Sampling and Analysis 3rd. Edition 1988";NULL
"661";"12";NULL;"In situ";"Ensayos físico-químicos en aire ambiente";"Gravimetría";"Material particulado (PM 2,5)";"Aire ambiente";"<p>2 µg /m3– 200 µg/m3</p>";"<p>PEE.EL.04</p>";"EPA CFR 40 PT 50 Apéndice J, L, M
Designación Nro. RFPS-0498-116";NULL
"661";"12";NULL;"In situ";"Ensayos físico-químicos en aire ambiente";"Gravimetría";"Material particulado (PM 10)";"Aire ambiente";"<p>15 µg /m3- 300 µg /m3</p>";"<p>PEE.EL.04</p>";"EPA CFR 40 PT 50 Apéndice J, L, M
Designación Nro. RFPS-1298-125.";NULL
"661";"12";NULL;"In situ";"Ensayos físico-químicos en aire ambiente";"Captadores pasivos
espectrofotometría UV VIS";"Determinación de dióxido de
nitrógeno NO2";"Aire ambiente";"<p>(0,60 a 525,03) ug/m3&nbsp;</p>";"<p>PEE.EL.55</p>";"EN 13528
Radiello";NULL
"661";"12";NULL;"In situ";"Ensayos físico-químicos en aire ambiente";"Captadores pasivos cromatografía ionica";"Determinación de dióxido de
azufre SO2";"Aire ambiente";"<p>(10,78 a 61,87) ug/m3</p>";"<p>EE.EL.57</p>";"UNE-EN 13528
Radiello";NULL
"661";"12";NULL;"In situ";"Ensayos físico-químicos en aire ambiente";"Captadores pasivos
espectrofotometría UV VIS";"Determinación de ozono O3";"Aire ambiente";"<p>(0,37 a 604,11) ug/m3</p>";"<p>PEE.EL.060</p>";"UNE-EN 13528
Radiello";NULL
