"idOrganizacion";"IdOrganismoInspeccion";"OinCampoSector";"OinSubcampoSubsector";"OinTipoProductoServicioCategoria";"OinActividad";"OinRango";"OinDocumentoNormativo";"OinTipoOrganismo";"OinVigenteApartirDe"
"107";"7";"Hidrocarburos/Inspección Visual Dimensional";"--";"--";"Estructuras metálicas,Tuberías,Recipientes";"--";"ASME V Art. 9 (2021). Visual Examination";"A";"--"
"107";"7";"Industrial/Inspección Visual Dimensional";"--";"--";"Estructuras metálicas,Tuberías,Recipientes";"--";"ASME V Art. 9 (2021). Visual Examination";"A";"--"
"107";"7";"Hidrocarburos/Inspección de ensayos no destructivos por ultrasonido medición de espesores";"--";"--";"Estructuras metálicas,Tuberías,Recipientes";"--";"ASTM E797 (2021). Standard Practice for Measuring Thickness by Manual Ultrasonic Pulse-Echo Contact Method";"A";"--"
"107";"7";"Industrial/Inspección de ensayos no destructivos por ultrasonido medición de espesores";"--";"--";"Estructuras metálicas,Tuberías,Recipientes";"--";"ASTM E797 (2021). Standard Practice for Measuring Thickness by Manual Ultrasonic Pulse-Echo Contact Method";"A";"--"
"107";"7";"Hidrocarburos/Inspección volumétrica geométrica tanques horizontales";"--";"--";"Tanques horizontales";"--";"API-MPMS-2.2E (R2014) Ed. 1. Petroleum and Liquid Petroleum Products—Calibration of Horizontal Cylindrical Tanks.";"A";"--"
"107";"7";"Industrial/Inspección volumétrica geométrica tanques horizontales";"--";"--";"Tanques horizontales";"--";"API-MPMS-2.2E (R2014) Ed. 1. Petroleum and Liquid Petroleum Products—Calibration of Horizontal Cylindrical Tanks.";"A";"--"
"107";"7";"Hidrocarburos/Inspección volumétrica geométrica manual tanques cilíndricos verticales por el Método Manual";"--";"--";"Tanques cilíndricos verticales";"--";"API-MPMS-2.2A (2019) Ed. 2. Measurement and Calibration of UprightCylindrical Tanks by the Manual Tank Strapping Method";"A";"--"
"107";"7";"Industrial/Inspección volumétrica geométrica manual tanques cilíndricos verticales por el Método Manual";"--";"--";"Tanques cilíndricos verticales";"--";"API-MPMS-2.2A (2019) Ed. 2. Measurement and Calibration of UprightCylindrical Tanks by the Manual Tank Strapping Method";"A";"--"
"107";"7";"Hidrocarburos/Inspección volumétrica geométrica de tanques cilíndricos verticales por el método de distancia electro óptica interna";"--";"--";"Tanques cilíndricos verticales";"--";"API-MPMS-2.2D (R2014).Ed. 1. Calibration of Upright Cylindrical Tanks Using the Internal Electro-optical Distance Ranging Method.";"A";"--"
"107";"7";"Industrial/Inspección volumétrica geométrica de tanques cilíndricos verticales por el método de distancia electro óptica interna";"--";"--";"Tanques cilíndricos verticales";"--";"API-MPMS-2.2D (R2014).Ed. 1. Calibration of Upright Cylindrical Tanks Using the Internal Electro-optical Distance Ranging Method.";"A";"--"
"107";"7";"Hidrocarburos/Inspección de ensayos no destructivo por ultrasonido convencional y arreglo de fases ";"--";"--";"Estructuras metálicas,Tuberías,Recipientes";"--";"<p>ASTM-E164 (2019). Standard Practice for Contact Ultrasonic Testing of Weldments. </p><p>ASTM-E2700 (2020). Standard Practice for Contact Ultrasonic Testing of Welds Using Phased Arrays.</p><p>ASME V Art 4 (2021). Ultrasonic Examination</p>";"A";"--"
"107";"7";"Hidrocarburos/Inspección de seguridad en estaciones de servicio y áreas de almacenamiento de combustible en industrias.";"--";"--";"Estaciones de servicio y áreas de almacenamiento de combustible en industrias.";"--";"<p>INEN-2251 (2013). Ed. 1. Manejo, transporte y expendio en los centros de distribución de combustibles líquidos. </p><p>NFPA-30 A (2018). Motor Fuel Dispensing Facilities and Repair Garages. </p><p>NFPA-30 (2018). Flammable and Combustible Liquids Code. </p><p>NTE INEN-2266 (2013). Ed. 2. Transporte, almacenamiento y manejo de materiales peligrosos. Requisitos. </p><p>NTE INEN-2288.(2000), Ed. 1. Productos químicos industriales peligrosos , Etiquetado de precaución. Requisitos</p>";"A";"--"
