"IdOnaDatos";"IdOrganizacion";"OrgNombreComercial";"OrgRazonSocial";"OrgCodigoAcreditacion";"OrgPais";"OrgCiudad";"OrgDireccion";"OrgWeb";"orgCorreo";"orgTelefono";"OrgEstadoAcreditado";"OrgEsquemaAcreditado";"OrgNormaAcreditada";"OrgReconocimiento";"OrgFechaActualizacion"
"1";"316";"ABGES CIA. LTDA.";"ABGES LABORATORIO ANALITICO AMBIENTAL CIA. LTDA.";"SAE LEN 16-013";"Ecuador";"Quito";"Barrio: SERVIDORES DE LA SALUD Calle: MIGUEL DE SANTIAGO Número: LOTE 213 Intersección: CALLE CUARTA Número de piso: PB Referencia: AUTOPISTA GENERAL RUMIÑAHUI, PUENTE 5 VIA A LOS CHILLOS, CASA PORTONES NEGROS Y CHIMENEA TOMATE";NULL;"123monitoreo@abges.com";"+593 93 994 0160";"ACREDITADO";"ENSAYOS";"Norma NTE INEN-ISO/IEC 17025:2018";"NACIONAL";"2016-08-24"
"1";"527";"ABRUS";"ABRUS Ingeniería y Medio Ambiente Cía. Ltda.";"SAE LEN 07-001";"Ecuador";"Quito";"N5H Chimborazo OE11-31 y Tungurahua";NULL;"123ggeneral@abrus.com.ec";"+593 99 986 7674";"ACREDITADO";"ENSAYOS";"Norma NTE INEN-ISO/IEC 17025:2018";"NACIONAL";"2007-03-12"
"1";"327";"Acerías Nacionales del Ecuador ANDEC S.A.";"Acerías Nacionales del Ecuador Sociedad Anónima A.N.D.E.C.";"SAE LEN 17-014";"Ecuador";"Guayaquil";"Barrio: Guasmo central  Calle: av. Las exclusas  Número: Solar 9  Intersección: Primer Pasaje 12C SE  Edificio: Complejo Siderurgico ANDEC  Manzana:2009  Referencia: Frente a la fabrica de ACEROPAXI";NULL;"123mmurillo@andec.com.ec";"+593 4-371-3590";"ACREDITADO";"ENSAYOS";"Norma NTE INEN-ISO/IEC 17025:2018";"NACIONAL";"2017-12-27"
"1";"354";"ACG S.A.";"CERGESTCAL AMERICA CERTIFICATION GROUP S.A.";"SAE CSC 09-001";"Ecuador";"Quito";"Av. 10 de Agosto y José Riofrío. Edif. Benalcazar Mil Oficina 504";NULL;"123direccion_tecnica@amcergroup.com";"+593 2-600-0382";"ACREDITADO";"SISTEMAS DE GESTIÓN DE CALIDAD";"ISO/IEC 17021-1, ISO/IEC 17021-3 ";"NACIONAL";"2009-12-23"
"1";"356";"ACG S.A.";"CERGESTCAL AMERICA CERTIFICATION GROUP S.A.";"SAE CSA 18-001";"Ecuador";"Quito";"Av. 10 de Agosto y José Riofrío. Edif. Benalcazar Mil Oficina 504";NULL;"123asistencia_tecnica2@amcergroup.com";"+593 2-600-0382";"ACREDITADO";"SISTEMAS DE GESTIÓN AMBIENTAL";"ISO/IEC 17021-1, ISO/IEC 17021-2 ";"NACIONAL";"2018-09-11"
"1";"494";"ACLAB";"ACLAB ASESORÍA, CONSULTORÍA Y LABORATORIO AMBIENTAL S.A.S. B.I.C.";"SAE LEN 23-008";"Ecuador";"Quito";"Sauces del Valle, Calle B E20 750 y Calle A";NULL;"123calidad.aclab@gmail.com";"+593 95 868 9461";"ACREDITADO";"ENSAYOS";"Norma NTE INEN-ISO/IEC 17025:2018";"NACIONAL";"2023-08-04"
"1";"167";"ACOSSAND INSPECCIÓN Y CONTROL AMBIENTAL";"ACOSSAND GESTOR AMBIENTAL CIA. LTDA.";"SAE OI 19-005";"Ecuador";"Quito";"DIEGO DE ALMAGRO y PEDRO PONCE CARRASCO Numero: E8-06,  EDIFICIO ALMAGRO PLAZA";NULL;"123calidad@acossand.com";"+593 99 349 3027";"ACREDITADO";"INSPECCION";"NTE INEN-ISO/IEC 17020:2013";"NACIONAL";"2024-02-20"
"1";"117";"ADELCA";"ACERIA DEL ECUADOR CA ADELCA";"SAE LEN 22-013";"Ecuador";"Mejí­a";"CALLE DEL ESTABLO N°50 Y DEL CHARRO EDF. SITE CENTER";NULL;"123pgualotunia@adelca.com";"+593 2-396-8100";"ACREDITADO";"ENSAYOS";"Norma NTE INEN-ISO/IEC 17025:2018";"NACIONAL";"2022-12-16"
"1";"339";"ADEMINSA DEL ECUADOR S.A.";"ADEMINSA DEL ECUADOR S.A.";"SAE OI 23-005";"Ecuador";"Guayaquil";"CIUDADELA ALBORADA 8AVA ETAPA MZ 822 SOLAR 7";NULL;"123info@ademinsaec.com";"+593 4-223-4255";"ACREDITADO";"INSPECCION";"NTE INEN-ISO/IEC 17020:2013";"NACIONAL";"2023-09-29"
"1";"388";"AENOR";"AENOR CONFÍA S.A.U.";"SAE CSGAS 19-001";"España";"Madrid";"GÉNOVA,6";NULL;"123calidad@aenor.com";"+34 620 20 24 78";"ACREDITADO";"SISTEMAS DE GESTIÓN ANTISOBORNO";"ISO/IEC 17021-1, ISO/IEC TS 17021-9 ";"INTERNACIONAL";"2019-06-18"
"1";"181";"AENORECUADOR S.A.";"AENORECUADOR S.A.";"SAE OI 12-006";"Ecuador";"Quito";"Av. Naciones Unidas E2-30 y Nuñez de Vela, Edificio Metropolitan, Piso 8, Oficina 811. (Referencia  Frente al  club  de Leones)";NULL;"123dherranz@aenor.com";"+593 2-450-7300";"ACREDITADO";"INSPECCION";"NTE INEN-ISO/IEC 17020:2013";"NACIONAL";"2012-12-18"
